type_anomalie,id,objet,montant,codecpv,procedure,acheteur_id,acheteur_nom,titulaire_siret,date,offres_recues
Fournisseur unique,202323B450L02D0,Missions de suivi-animation d'une OPAH et d'une OPAH-RU multisites sur le territoire de Mauges Communauté 2024-2028: Lot 2: Mission de suivi-animation,1303990.0,75200000-8,Appel d'offres ouvert,20006001000010,,52884815300029,2023-12-19,1.0
Fournisseur unique,24993189,remplacement de chaudieres à gaz sur le patrimoine de brive habitat,1266048.0,42160000-8,Appel d'offres ouvert,27190310600026,,40970727000032,2023-12-12,1.0
Sans concurrence,2023O526200,Assurance multirisques du patrimoine,1223248.15,66510000-8,Marché négocié sans publicité ni mise en concurrence préalable,21690123100011,,72205746001971,2023-12-14,
Sans concurrence,202323CP00012500,FOURNITURE DE CARBURANT ET SERVICES ASSOCIES PAR CARTES ACCREDITIVES,1200000.0,09100000-0,Marché négocié sans publicité ni mise en concurrence préalable,21920073000014,,53168044500024,2023-12-04,
Sans concurrence,2023_05401,Assurance protection sociale SPV,1195480.0,66516500-5,Marché négocié sans publicité ni mise en concurrence préalable,28060051100024,,33517109600035,2023-12-06,
Fournisseur unique,249931955,Contrat d'entretien des installations des résidences du patrimoine de Brive Habitat: Lot 05: chauffage individuel ventilation,1183720.0,39715200-9,Appel d'offres ouvert,27190310600026,,40970727000032,2023-12-12,1.0
Sans concurrence,2023MOCOLOMBIE00,MO EXTENSION ET REHABILITATION LE COLOMBIER,1162656.32,71221000-3,Marché négocié sans publicité ni mise en concurrence préalable,20010240800016,,41856968700043,2023-12-07,
Sans concurrence,20232700,PRESTATIONS DASSURANCES IARD DOMMAGES AUX BIENS,1089250.92,66515200-5,Marché négocié sans publicité ni mise en concurrence préalable,21780586000012,,78439572500202,2023-12-27,
Sans concurrence,20232300046800,Maintenance et prestations associées du système informatique des ressources humaines,1016490.0,72267100-0,Marché négocié sans publicité ni mise en concurrence préalable,21300189400012,,75580064600373,2023-12-11,
Sans concurrence,2023MA24000200,DOMMAGES AUX BIENS ET RISQUES ANNEXES POUR LA COMMUNE,1003052.6,66515000-3,Marché négocié sans publicité ni mise en concurrence préalable,21240037800015,,40228259400017,2023-12-27,
Sans concurrence,202323V0281-0000,"FF - ABONNEMENT, MAINTENANCE & HEBERGEMENT DU LOGICIEL USI SOFTWARE (EX EBMS) DE GESTION DES SALLES DE CONGRES & SPECTACLES AINSI QUE LES PRESTATIONS ",1000000.0,72267000-4,Marché négocié sans publicité ni mise en concurrence préalable,21060088800015,,999999999,2023-12-21,
Sans concurrence,20232310600,MAINTIEN OPE EXT VIDEO PROTECTION,1000000.0,32323500-8,Marché négocié sans publicité ni mise en concurrence préalable,21340003900011,,40986794200396,2023-12-13,
Sans concurrence,243236,Fourniture de spécialités pharmaceutiques au profit des adhérents du GCS GRAPS Grand Est - marchés négociés lot 717,960000.0,33600000-6,Marché passé sans publicité ni mise en concurrence préalable,13002682600011,,,2023-12-20,1.0
