id,objet,famille,type_marche,type_avis,procedure,acheteur,titulaire,departement,date_parution,url_avis
26_26666,"Réception et traitement des déchets mêlés, verre, gravats, déchets équipement d'ameublement et bois",Marchés européens,SERVICES, | 10 | 6,Procédure Ouverte,Vallée Sud - Grand Paris (92),TAIS,92,2026-03-15,https://www.boamp.fr/pages/avis/?q=idweb:26-26666
26_26696,"Déploiement, exploitation et développement des usages du service de covoiturage  sans réservation HéLéman et création d'un service de covoiturage HéLéman hybride",Marchés européens,SERVICES, | 10 | 6,Procédure Ouverte,Pôle métropolitain du Genevois français,ECOV | COMUTO,74,2026-03-15,https://www.boamp.fr/pages/avis/?q=idweb:26-26696
26_26708,"FOURNITURE D'OXYGENE MEDICINAL, LOCATION DE BOUTEILLES, RECHARGES EN GAZ, PRESTATIONS DE TRACABILITE",Marchés européens,FOURNITURES, | 10 | 6,Procédure Ouverte,SDIS 45 Loiret,LINDE FRANCE,45,2026-03-15,https://www.boamp.fr/pages/avis/?q=idweb:26-26708
26_26409,Entretien et maintenance des installations d'alarmes incendie,Marchés européens,SERVICES, | 10 | 6,Procédure Ouverte,Conseil départemental d'Indre et Loire,LA DETECTION ELECTRONIQUE FRANCAISE,37,2026-03-15,https://www.boamp.fr/pages/avis/?q=idweb:26-26409
26_26416,Accord-cadre de prestations foncières (géomètres experts),Marchés européens,SERVICES, | 10 | 6,Procédure Ouverte,Communauté urbaine Grand Paris Seine & Oise,CABINET EGETO | CABINET ABELLO | Marc LAROCHE - HAMEL | Marc LAROCHE - HAMEL | TT GEOMETRES EXPERTS (TECHNIQUES TOPO),78,2026-03-15,https://www.boamp.fr/pages/avis/?q=idweb:26-26416
26_26424,"Exploitation des installations de chauffage, de ventilation, de climatisation, de production d’eau chaude sanitaire et de traitement d’eau des bâtiments de la Caf du Nord.",Marchés européens,SERVICES, | 10 | 6,Procédure Ouverte,CAF DU NORD,DELANNOY DEWAILLY,59,2026-03-15,https://www.boamp.fr/pages/avis/?q=idweb:26-26424
26_26434,Mission de maîtrise d’œuvre pour la restauration générale de l’église Saint-Ronan (classée monuments historiques),Marchés européens,SERVICES, | 10 | 6,Procédure Ouverte,commune de locronan,ATELIER ATLAS | GERALDINE BECKER ETUDES ET PATRIMOINE | BECOME 29,22 | 29 | 56,2026-03-15,https://www.boamp.fr/pages/avis/?q=idweb:26-26434
26_26516,Surveillance des ouvrages d'art-.,Marchés européens,SERVICES, | 10 | 6,Procédure Ouverte,Métropole du Grand Nancy - Service Commande Publique,DEGIS,54,2026-03-15,https://www.boamp.fr/pages/avis/?q=idweb:26-26516
26_26519,Conception et construction d’un parking « Saint Pierre »,Marchés européens,TRAVAUX, | 10 | 6,Procédure Négociée,Ville de Chartres (28),SOGEA CENTRE,28,2026-03-15,https://www.boamp.fr/pages/avis/?q=idweb:26-26519
26_26724,"Installation, location avec option d'achat d'une demi-pension modulaire au collège Charles Sénard, et prestations connexes",Marchés européens,FOURNITURES, | 10 | 6,Procédure Ouverte,Métropole de Lyon,HEXIS CONSTRUCTIONS MODULAIRES,69,2026-03-15,https://www.boamp.fr/pages/avis/?q=idweb:26-26724
