id,objet,montant,codecpv,procedure,offres_recues,acheteur_id,acheteur_nom,titulaire_siret,titulaire_nom,titulaire_activite,titulaire_effectifs,titulaire_commune,date,score_sous_enchere,raisons_score,economie_estimee_basse,economie_estimee_haute
24988247,"Prestation de service d'assurance ""Dommages aux biens et risques annexes"" pour la ville de Mondeville",727800.0,66515200-5,Appel d'offres ouvert,1.0,21140437100018,,30130960500410,,,,,2023-12-22,85,1 seule offre (+15) | Fournisseur captif 100 marches (+5) | 5 marches sans concurrence (+10) | Montant accessible (+5),109170,254730
2023M230173000,LOT 1 : MAINTENANCE EVOLUTIVE,611500.0,72267100-0,Marché négocié sans publicité ni mise en concurrence préalab,,22660001300016,,34054699300668,NEXPUBLICA FRANCE (NEXPUBLICA),,42,CLICHY,2023-12-29,85,Sans concurrence (+15) | Fournisseur captif 14 marches (+5) | 10 marches sans concurrence (+10) | Montant accessible (+5),91725,214025
202323APOAJ19000,01 ASSURANCE DE DOMAMGES AUX BIENS ET RISQUES ANNEXES,467914.68,66510000-8,Marché négocié sans publicité ni mise en concurrence préalab,,24400080800067,,83381722400029,SMACL ASSURANCES SA,,41,NIORT,2023-12-18,85,Sans concurrence (+15) | Fournisseur captif 195 marches (+5) | 18 marches sans concurrence (+10) | Montant accessible (+5),70187,163770
2023 02 S0100,Dommage aux biens mobiliers et immobiliers,440260.55,66515000-3,Marché négocié sans publicité ni mise en concurrence préalab,,21840138800010,,30130960500410,,,,,2023-12-28,85,Sans concurrence (+15) | Fournisseur captif 100 marches (+5) | 5 marches sans concurrence (+10) | Montant accessible (+5),66039,154091
202322N0864-0000,FF - MAINTENANCE DU LOGICIEL MUNICIPOL POUR LA GESTION DE LA POLICE MUNICIPALE ET MODULES ASSOCIES,400000.0,48000000-8,Marché négocié sans publicité ni mise en concurrence préalab,,20003019500115,,48125959600023,LOGITUD SOLUTIONS,,21,MULHOUSE,2023-12-12,85,Sans concurrence (+15) | 3 marches sans concurrence (+10) | Categorie COTS (+5) | Montant accessible (+5),60000,140000
2024A60800,Marché de concession des droits d'utilisation d'une licence site pour les logiciels ESRI et prestations associées,350150.0,48610000-7,Marché négocié sans publicité ni mise en concurrence préalab,,20006799900017,,34849974000028,ESRI FRANCE,,32,MEUDON,2023-12-27,85,Sans concurrence (+15) | 3 marches sans concurrence (+10) | Categorie COTS (+5) | Montant accessible (+5),52522,122552
202313300,EXTENSION ASSURANCE DOMMAGES AUX BIENS,317023.0,66518000-4,Marché négocié sans publicité ni mise en concurrence préalab,,22550001600152,,78439572500202,,,,,2023-12-29,85,Sans concurrence (+15) | Fournisseur captif 12 marches (+5) | 3 marches sans concurrence (+10) | Montant accessible (+5),47553,110958
249954941,Services d'assurances pour la Commune de L'Union: Lot 1: Assurance des dommages aux biens et des risques annexes,296965.0,66515000-3,Appel d'offres ouvert,1.0,21310561200013,,30130960500410,,,,,2023-12-27,85,1 seule offre (+15) | Fournisseur captif 100 marches (+5) | 5 marches sans concurrence (+10) | Montant accessible (+5),44545,103938
20231601,ASSURANCE DOMMAGE AUX BIENS RISQUES ANNEXES,295221.88,66510000-8,Marché négocié sans publicité ni mise en concurrence préalab,,21910645700019,,83381722400029,SMACL ASSURANCES SA,,41,NIORT,2023-12-19,85,Sans concurrence (+15) | Fournisseur captif 195 marches (+5) | 18 marches sans concurrence (+10) | Montant accessible (+5),44283,103328
20231600,ASSURANCE DOMMAGE AUX BIENS RISQUES ANNEXES,295221.88,66510000-8,Marché négocié sans publicité ni mise en concurrence préalab,,21910645700019,,83381722400029,SMACL ASSURANCES SA,,41,NIORT,2023-12-19,85,Sans concurrence (+15) | Fournisseur captif 195 marches (+5) | 18 marches sans concurrence (+10) | Montant accessible (+5),44283,103328
2410025681,Prestation de services d'assurance pour les besoins de l'Agence du Numérique en Santé: Lot 1: Risques Responsabilités,280000.0,66516400-4,Appel d'offres ouvert,1.0,18751275100038,,83381722400029,SMACL ASSURANCES SA,,41,NIORT,2023-12-18,85,1 seule offre (+15) | Fournisseur captif 195 marches (+5) | 18 marches sans concurrence (+10) | Montant accessible (+5),42000,98000
2023DI0601,MAINTENANCE ASTRE GF GS,234220.0,72267000-4,Marché négocié sans publicité ni mise en concurrence préalab,,22070001700019,,34054699300668,NEXPUBLICA FRANCE (NEXPUBLICA),,42,CLICHY,2023-12-28,85,Sans concurrence (+15) | Fournisseur captif 14 marches (+5) | 10 marches sans concurrence (+10) | Montant accessible (+5),35133,81977
2023DI0600,MAINTENANCE ASTRE GF GS,234220.0,72267000-4,Marché négocié sans publicité ni mise en concurrence préalab,,22070001700019,,34054699300668,NEXPUBLICA FRANCE (NEXPUBLICA),,42,CLICHY,2023-12-28,85,Sans concurrence (+15) | Fournisseur captif 14 marches (+5) | 10 marches sans concurrence (+10) | Montant accessible (+5),35133,81977
20232023114100,Maintenance Horus,210000.0,72500000-0,Marché négocié sans publicité ni mise en concurrence préalab,,22830001800113,,34054699300668,NEXPUBLICA FRANCE (NEXPUBLICA),,42,CLICHY,2023-12-19,85,Sans concurrence (+15) | Fournisseur captif 14 marches (+5) | 10 marches sans concurrence (+10) | Montant accessible (+5),31500,73500
20232023F0005200,"Fourniture et maintenance d'autorisations d'usage et de déploiement de licences logiciels SIG (Système d'Information Géographique), pour les besoins b",201793.0,48326000-9,Marché passé sans publicité ni mise en concurrence préalable,,20006940900015,,34849974000028,ESRI FRANCE,,32,MEUDON,2023-12-08,85,Sans concurrence (+15) | 3 marches sans concurrence (+10) | Categorie COTS (+5) | Montant accessible (+5),30269,70628
249962421,Souscription d'un contrat d'assurance pour les besoins du SYDOM du Jura: Lot 1: ASSURANCE DOMMAGES AUX BIENS,168579.0,66515100-4,Appel d'offres ouvert,1.0,25390183900022,,83381722400029,SMACL ASSURANCES SA,,41,NIORT,2023-12-29,85,1 seule offre (+15) | Fournisseur captif 195 marches (+5) | 18 marches sans concurrence (+10) | Montant accessible (+5),25287,59003
2023M230173100,LOT 2 : MAINTENANCE CURATIVE,157096.0,72267100-0,Marché négocié sans publicité ni mise en concurrence préalab,,22660001300016,,34054699300668,NEXPUBLICA FRANCE (NEXPUBLICA),,42,CLICHY,2023-12-29,85,Sans concurrence (+15) | Fournisseur captif 14 marches (+5) | 10 marches sans concurrence (+10) | Montant accessible (+5),23564,54984
